group_type,group,n_total,n_observed_outcome,n_missing_outcome,below_observed_n,adequate_or_more_observed_n,observed_prevalence,observed_prevalence_pct,lower_bound_prevalence,lower_bound_prevalence_pct,upper_bound_prevalence,upper_bound_prevalence_pct
Region,Southeast,5176,5015,161,1566,3449,0.3122632103688933,31.2,0.3025502318392581,30.3,0.33365533230293665,33.4
Region,South,1449,1408,41,386,1022,0.2741477272727273,27.4,0.2663906142167012,26.6,0.2946859903381642,29.5
Region,Northeast,3570,3290,280,1180,2110,0.3586626139817629,35.9,0.33053221288515405,33.1,0.40896358543417366,40.9
Region,North,1285,1167,118,592,575,0.5072836332476436,50.7,0.46070038910505834,46.1,0.5525291828793775,55.3
Region,Central-West,898,865,33,318,547,0.3676300578034682,36.8,0.35412026726057905,35.4,0.3908685968819599,39.1
