model,se_type,term,estimate,std_error,statistic,p_value,pr,conf_low,conf_high
M0,Clustered_HC1_municipality,(Intercept),-1.2577417808419964,0.02593949192149498,-48.48752568664454,0,0.2842953032558664,0.27020261242725485,0.29912301264335395
M0,Clustered_HC1_municipality,raceBlack,0.2096963825704527,0.05454364282603054,3.844561377011231,1.2076825642437923e-4,1.2333035506519434,1.108259584174594,1.372456119279604
M0,Clustered_HC1_municipality,raceBrown,0.2603901405759619,0.03304567801974409,7.879703373626781,3.281591691135381e-15,1.2974361704322528,1.2160654567474491,1.3842516510980076
M0,Clustered_HC1_municipality,raceYellow,0.39754051573054977,0.16129913458577957,2.464616544604807,0.013715994970687772,1.48816008663849,1.0847984527925498,2.041504057977661
M0,Clustered_HC1_municipality,raceIndigenous,0.8796756469219705,0.06740853609757909,13.049914711818868,6.361858201488214e-39,2.410117850482157,2.1118300971243986,2.7505375840235367
M1,Clustered_HC1_municipality,(Intercept),-1.2237687953404064,0.03853006893582788,-31.76139646618859,2.2102839856540403e-221,0.2941195989128616,0.27272597827824424,0.3171914131935239
M1,Clustered_HC1_municipality,raceBlack,0.1671671814135428,0.05335086537897414,3.1333546368195235,0.0017282049675538922,1.1819518491726106,1.0646003657053158,1.3122390511645285
M1,Clustered_HC1_municipality,raceBrown,0.13033060816074762,0.03177014036511361,4.102298783163767,4.090655568118469e-5,1.1392049515266705,1.0704307451696295,1.2123978383834864
M1,Clustered_HC1_municipality,raceYellow,0.3285996567669411,0.15264623496706387,2.1526875971611243,0.031343238902256966,1.3890216588385487,1.0298498719516993,1.8734586673940792
M1,Clustered_HC1_municipality,raceIndigenous,0.5651148293844905,0.07732469108406063,7.308336075602904,2.704706333242735e-13,1.7596498306280446,1.5121892493815194,2.0476058322036814
M1,Clustered_HC1_municipality,regionSouth,-0.09450090686093482,0.05329077832829629,-1.773306936497807,0.0761778602880478,0.9098269095391741,0.8195901896376782,1.009998674688321
M1,Clustered_HC1_municipality,regionNortheast,0.07634170441186745,0.03973855771601404,1.9210990232064435,0.0547192247441538,1.0793313234271515,0.998455325528058,1.166758367596357
M1,Clustered_HC1_municipality,regionNorth,0.360082223957256,0.0493580991082328,7.295301692386189,2.9799058621383114e-13,1.4334472734222015,1.3012695302930115,1.5790511019026654
M1,Clustered_HC1_municipality,regionCentral-West,0.10950191083819356,0.0515053786603336,2.1260286534409167,0.033500873784153805,1.1157222028977096,1.0085880360612398,1.2342363676058254
M1,Clustered_HC1_municipality,age_group<20,0.3080712653452516,0.03508112280825382,8.78168201824969,1.6104785666689288e-18,1.3607979632183227,1.2703751678994795,1.457656874512884
M1,Clustered_HC1_municipality,age_group>=35,-0.14204044003849767,0.03466595658411292,-4.0974043134754705,4.1780878406557713e-5,0.8675861705583433,0.8105958252947586,0.9285833208805175
