model,se_type,term,estimate,std_error,statistic,p_value,pr,conf_low,conf_high
M0,HC0,(Intercept),-1.2577417808419964,0.025996743671500358,-48.38074324750258,0,0.2842953032558664,0.2701722937664289,0.29915658014592483
M0,HC0,raceBlack,0.2096963825704527,0.05096141836280447,4.114806638182291,3.875041133801079e-5,1.2333035506519434,1.116068232785992,1.3628536350808869
M0,HC0,raceBrown,0.2603901405759619,0.030692413826670505,8.483859954660621,2.1784393194926465e-17,1.2974361704322528,1.2216873897360916,1.3778816336227748
M0,HC0,raceYellow,0.39754051573054977,0.1640109962759871,2.4238650136701465,0.015356312282681936,1.48816008663849,1.0790477756748214,2.052384049518925
M0,HC0,raceIndigenous,0.8796756469219705,0.07021456355896448,12.5283930047253,5.220985850983925e-36,2.410117850482157,2.1002473055565187,2.7657067040843395
M0,HC1,(Intercept),-1.2577417808419964,0.026002508811094362,-48.370016523381075,0,0.2842953032558664,0.2701692409249405,0.2991599605367356
M0,HC1,raceBlack,0.2096963825704527,0.050972719766343606,4.113894324879865,3.8903958536337004e-5,1.2333035506519434,1.11604351131034,1.3628838236466694
M0,HC1,raceBrown,0.2603901405759619,0.030699220296452362,8.481978957819097,2.2139561367543538e-17,1.2974361704322528,1.221671091703335,1.3779000156244052
M0,HC1,raceYellow,0.39754051573054977,0.1640473679962738,2.4233276070578564,0.015379050660927684,1.48816008663849,1.0789708546418584,2.052530366261816
M0,HC1,raceIndigenous,0.8796756469219705,0.07023013461531798,12.525615275271072,5.407040345577427e-36,2.410117850482157,2.100183208519085,2.765791112723273
M0,HC3,(Intercept),-1.2577417808419964,0.02600372453714197,-48.36775512852102,0,0.2842953032558664,0.2701685971602119,0.2991606733828355
M0,HC3,raceBlack,0.2096963825704527,0.05100413067953712,4.111360781502016,3.933340179965665e-5,1.2333035506519434,1.1159748037714912,1.3629677327035254
M0,HC3,raceBrown,0.2603901405759619,0.030699676175241136,8.4818530035819375,2.2163546985074232e-17,1.2974361704322528,1.2216700001133052,1.37790124680952
M0,HC3,raceYellow,0.39754051573054977,0.16714794488365498,2.3783751335217547,0.017389125246345883,1.48816008663849,1.0724336914539816,2.065041839986718
M0,HC3,raceIndigenous,0.8796756469219705,0.07078374317742622,12.42765086210515,1.8499098332596826e-35,2.410117850482157,2.097905592795753,2.7687938261663483
M1,HC0,(Intercept),-1.2237687953404064,0.0384799687746812,-31.80274917857038,5.930642854948862e-222,0.2941195989128616,0.2727527602794725,0.3171602676945415
M1,HC0,raceBlack,0.1671671814135428,0.05145616696182672,3.2487297691170327,0.0011592154570438328,1.1819518491726106,1.0685612250851337,1.3073749458307848
M1,HC0,raceBrown,0.13033060816074762,0.03417257947800567,3.813894360671007,1.36793959840076e-4,1.1392049515266705,1.0654021700974594,1.2181202160158602
M1,HC0,raceYellow,0.3285996567669411,0.15750632060025305,2.086263303686196,0.036954778788312374,1.3890216588385487,1.0200863375699525,1.891390069313899
M1,HC0,raceIndigenous,0.5651148293844905,0.07568572006154206,7.466597779937625,8.229482693374098e-14,1.7596498306280446,1.5170547915365324,2.0410386913535166
M1,HC0,regionSouth,-0.09450090686093482,0.04900638673826591,-1.928338593205142,0.05381302441145435,0.9098269095391741,0.8265016008106557,1.0015528155174656
M1,HC0,regionNortheast,0.07634170441186745,0.033790578490046554,2.2592600607401523,0.02386721274229099,1.0793313234271515,1.0101634713431114,1.1532352324936903
M1,HC0,regionNorth,0.360082223957256,0.038982080438781035,9.23712177247038,2.5321681642649272e-20,1.4334472734222015,1.3280043760899183,1.5472622851827231
M1,HC0,regionCentral-West,0.10950191083819356,0.0512786361875586,2.135429468866438,0.03272594570147085,1.1157222028977096,1.0090363675773448,1.2336879760119235
M1,HC0,age_group<20,0.3080712653452516,0.031386082822080316,9.815537258715237,9.652244382717726e-23,1.3607979632183227,1.2796089750444646,1.4471382530235763
M1,HC0,age_group>=35,-0.14204044003849767,0.037288362347819314,-3.8092431819228025,1.3939280857565466e-4,0.8675861705583433,0.8064401205469852,0.9333684475340239
M1,HC0,year2020,-0.021717373491330915,0.03893239304246692,-0.5578227227810503,0.5769654447184305,0.9785167507469744,0.9066263612476835,1.0561076452428853
M1,HC0,year2021,-0.030689042795646198,0.039484163191032866,-0.7772494163588073,0.43701163233906565,0.9697770853661989,0.8975575818298345,1.0478075327312655
M1,HC0,year2022,0.016373367873602687,0.03867444470483446,0.4233640068672001,0.6720297013056236,1.0165081460474699,0.9423028646166642,1.096557009195991
M1,HC0,year2023,-0.15354936044135878,0.04091448910361722,-3.752933589186223,1.7477716904239045e-4,0.8576584287554099,0.7915662042850398,0.9292690572604587
M1,HC1,(Intercept),-1.2237687953404064,0.03850558622560786,-31.781591070195105,1.1628500194437122e-221,0.2941195989128616,0.27273906565159534,0.31717619277602227
M1,HC1,raceBlack,0.1671671814135428,0.051490423118315344,3.2465684158280066,0.0011680536993164043,1.1819518491726106,1.0684894820845807,1.3074627286335494
M1,HC1,raceBrown,0.13033060816074762,0.034195329350359675,3.8113570080112935,1.3820599428130868e-4,1.1392049515266705,1.0653546651403685,1.2181745329025147
M1,HC1,raceYellow,0.3285996567669411,0.1576111780252224,2.08487532980913,0.0370806185731675,1.3890216588385487,1.019876710403892,1.8917788287944326
M1,HC1,raceIndigenous,0.5651148293844905,0.07573610667258303,7.461630313630392,8.545838282538215e-14,1.7596498306280446,1.516904978004849,2.0412402697114813
M1,HC1,regionSouth,-0.09450090686093482,0.049039011991023326,-1.927055685343607,0.05397269058980729,0.9098269095391741,0.8264487514460966,1.0016168623561592
M1,HC1,regionNortheast,0.07634170441186745,0.03381307405108218,2.257756993538544,0.02396081380622231,1.0793313234271515,1.0101189329047073,1.1532860812548555
M1,HC1,regionNorth,0.360082223957256,0.03900803216287092,9.230976391062187,2.681760329322591e-20,1.4334472734222015,1.3279368283616626,1.5473409892672456
M1,HC1,regionCentral-West,0.10950191083819356,0.051312774155647806,2.134008785142658,0.032842061690995634,1.1157222028977096,1.0089688547914426,1.2337705253510822
