model,race,pr_primary,conf_low_primary,conf_high_primary,p_value_primary,pr_cluster,conf_low_cluster,conf_high_cluster,p_value_cluster
M2,Black,1.1146537187500731,1.0077563344500404,1.232890203961265,0.03484028677441012,1.1146537187500731,1.0045745993141988,1.2367950708404956,0.040753039180026804
M2,Brown,1.0709703269547437,1.0010264159260271,1.1458013724408138,0.046616111794345105,1.0709703269547437,1.0068204876617992,1.1392074905837948,0.029578343062019664
M2,Yellow,1.3701107376622568,1.0110587782954161,1.8566709213704313,0.04226174016174491,1.3701107376622568,1.0171634205539861,1.8455278626073837,0.03826762917511601
M2,Indigenous,1.5491941384849242,1.3373693368010768,1.7945696919122855,5.370704350261189e-9,1.5491941384849242,1.334902986583332,1.797885316639244,8.267635548888956e-9
