model,se_type,race,pr,conf_low,conf_high,p_value
M0,Clustered_HC1_municipality,Black,1.2333035506519434,1.108259584174594,1.372456119279604,1.2076825642437923e-4
M0,Clustered_HC1_municipality,Brown,1.2974361704322528,1.2160654567474491,1.3842516510980076,3.281591691135381e-15
M0,Clustered_HC1_municipality,Yellow,1.48816008663849,1.0847984527925498,2.041504057977661,0.013715994970687772
M0,Clustered_HC1_municipality,Indigenous,2.410117850482157,2.1118300971243986,2.7505375840235367,6.361858201488214e-39
M1,Clustered_HC1_municipality,Black,1.1819518491726106,1.0646003657053158,1.3122390511645285,0.0017282049675538922
M1,Clustered_HC1_municipality,Brown,1.1392049515266705,1.0704307451696295,1.2123978383834864,4.090655568118469e-5
M1,Clustered_HC1_municipality,Yellow,1.3890216588385487,1.0298498719516993,1.8734586673940792,0.031343238902256966
M1,Clustered_HC1_municipality,Indigenous,1.7596498306280446,1.5121892493815194,2.0476058322036814,2.704706333242735e-13
M2,Clustered_HC1_municipality,Black,1.1146537187500731,1.0045745993141988,1.2367950708404956,0.040753039180026804
M2,Clustered_HC1_municipality,Brown,1.0709703269547437,1.0068204876617992,1.1392074905837948,0.029578343062019664
M2,Clustered_HC1_municipality,Yellow,1.3701107376622568,1.0171634205539861,1.8455278626073837,0.03826762917511601
M2,Clustered_HC1_municipality,Indigenous,1.5491941384849242,1.334902986583332,1.797885316639244,8.267635548888956e-9
